k,Accuracy,Precision,Recall,F1-Score
1,0.9811320754716981,0.9820305480682839,0.9811320754716981,0.981152528506417
2,0.9811320754716981,0.9820305480682839,0.9811320754716981,0.981152528506417
3,0.9811320754716981,0.9820305480682839,0.9811320754716981,0.981152528506417
4,0.9811320754716981,0.9820305480682839,0.9811320754716981,0.981152528506417
5,1.0,1.0,1.0,1.0
10,0.9811320754716981,0.9828473413379074,0.9811320754716981,0.981371668164121
15,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
50,0.9811320754716981,0.9820305480682839,0.9811320754716981,0.981152528506417
